reviewBody,reviewRating,runDate,dateCreated,date_clean,review_clean,review_parts_clean
"Staff were particularly rude , treated my group of friends as children . Spoke to us rudely and threatened to kick us out multiple times if we were seen “mixing with each other in the restaurant” . Food was particularly over priced . They were able to take cash but unable to give change because of corona ? Where’s the sense in that!",1.0,2021-07-29,8 months ago,2020-12-01,staff particularly rude treat group friends children speak us rudely threaten kick us multiple time see mix restaurant food particularly price able take cash unable give change corona wheres sense that,[]
I’m VERY disappointed at my experience at this restaurant. First of all no one came to take our order at our table and we had to go and find them. They served our drinks first but we had to wait 50 minutes before we got our food after asking 2 times about our order and they’re telling us it’s been given to a different table. The main course arrived before the starter. They kept forgetting parts of our order and actually gave us the wrong items by swapping what was meant to be on my plate with my partners plate and when it was bought to their attention they told us to move it onto the plate but as I’m allergic to seafood I wasn’t able to as I could have a reaction. They placed us close to the smokers area and all we could smell was smoke and when we asked to move they said it’s the seats were unavailable but the seats was empty throughout our entire during at this horrible restaurant. I strongly advise no one to come here.,1.0,2021-07-29,a month ago,2021-06-29,im disappoint experience restaurant first no one come take order table go find them serve drink first wait minutes get food ask time order theyre tell us its give different table main course arrive starter keep forget part order actually give us wrong items swap mean plate partner plate buy attention tell us move onto plate im allergic seafood wasnt able could reaction place us close smokers area could smell smoke ask move say its seat unavailable seat empty throughout entire horrible restaurant strongly advise no one come here,[]
Amazing food (5 stars!). Rude stuff (1 star!). More stuff is needed and maybe it helps current stuff to be more polite and to serve faster. There are good alternatives at the area.,3.0,2021-07-29,a year ago,2020-07-29,amazing food star rude stuff star stuff need maybe help current stuff polite serve faster good alternatives area,[]
BAD services. they made us sit down to order 2 glasses of wine and we had to wait 15 minutes ... after which they told us we could no longer order after half an hour of copious waiting. so at least we consumed alcohol right? bad service. NOT QUALIFIED staff.,1.0,2021-07-29,a month ago,2021-06-29,bad service make us sit order glass wine wait minutes tell us could no longer order half hour copious wait least consume alcohol right bad service not qualify staff,[]
I was abit dissapointed because it was my birthday and my boyfriend specifically told staff but they didnt acknowledge this. Food was ok except the ribs was abit under cook and dry so didnt finish it.,3.0,2021-07-29,a year ago,2020-07-29,abit dissapointed birthday boyfriend specifically tell staff didnt acknowledge this food ok except rib abit cook dry didnt finish it,[]
"Average welcome, very Pleasant food and good table service",4.0,2021-07-29,8 months ago,2020-12-01,average welcome pleasant food good table service,[]
"Chain restaurant with areas for live music, bar stools, booths and table seating. Busy with after work people in the evenings but quieter at the weekends. Standard service and food as you would expect from a chain and loud buzzing atmosphere.",3.0,2021-07-29,a year ago,2020-07-29,chain restaurant areas live music bar stool booths table seat busy work people even quieter weekend standard service food would expect chain loud buzz atmosphere,[]
Didn't get our first drink in the bottomless brunch until 25 mins in. Big easy? More like big inconvenience!,2.0,2021-07-29,a year ago,2020-07-29,didnt get first drink bottomless brunch minutes in like big inconvenience,[]
"This place is always busy - so make sure you make a reservation. Been a few times now and always had the lobster, side and a drink for around - £30. First time trying this, I thought it was expensive but you absolutely can’t knock it. Taste is unbelievable and the atmosphere in the restaurant is great.",5.0,2021-07-29,7 months ago,2020-12-31,place always busy make sure make reservation time always lobster side drink around money first time try this think expensive absolutely cant knock it taste unbelievable atmosphere restaurant great,[]
They're not doing much for Birthday Celebrants!,4.0,2021-07-29,a month ago,2021-06-29,theyre not much birthday celebrants,[]
Fab bar for drinking and dining,5.0,2021-07-29,a year ago,2020-07-29,fab bar drink din,[]
Less than a quarter of star is worth …I arrived there and more than half of menu wasn’t available (including drinks)…the live music promised wasn’t there one time…the meat served was completely dried and way too expensive…NOT RECOMMENDED AT ALL,1.0,2021-07-29,a month ago,2021-06-29,less quarter star worth i arrive half menu wasnt available include drinksthe live music promise wasnt one timethe meat serve completely dry way expensivenot recommend,[]
"BAD service, “okay” food, love their milkshakes tho.",2.0,2021-07-29,a year ago,2020-07-29,bad service okay food love milkshakes tho,[]
Amazing place amazing food. Music is a tad too loud,5.0,2021-07-29,a year ago,2020-07-29,amazing place amazing food music tad loud,[]
I had quite high expectations for this restaurant but unfortunately I wasn't right. The service was quite slow because of the under staff. The food was cold and not that much for £20 per dish. Unfortunately I didn't see the high standards that a restaurant like this must have! I am really disappointed. No recommended at all. 😔,1.0,2021-07-29,2 months ago,2021-05-30,quite high expectations restaurant unfortunately wasnt right service quite slow staff food cold not much money per dish unfortunately didnt see high standards restaurant like must have really disappoint no recommend all ,[]
"Root beer float is an American traditional drink, I hope they can improve the presentation. I had a small scoop of vanilla ice cream inside a small glass and a can of root beer. When given the dessert, ice cream does not have a small spoon with it. The burger, the mac and cheese, the calamari, the chicken is amazing. Next time, we will order the ribs... looks great...",3.0,2021-07-29,a year ago,2020-07-29,root beer float american traditional drink hope improve presentation small scoop vanilla ice cream inside small glass root beer give dessert ice cream not small spoon it burger mac cheese calamari chicken amazing next time order rib look great,[]
"Nice ambience, music and views at the outdoor seating",5.0,2021-07-29,a year ago,2020-07-29,nice atmosphere music view outdoor seat,[]
Really great seafood here! The flat-iron steak is also perfect!,5.0,2021-07-29,5 months ago,2021-03-01,really great seafood here flatiron steak also perfect,[]
Absolutely love it! One of my favourite places!,5.0,2021-07-29,3 months ago,2021-04-30,absolutely love it one favourite place,[]
The staff was all over the place I ordered a stake and lobster and the lobster come out 20 mins after the stake. We had to ask them to take our order for our drinks 25 mins after getting there. They did take some money off at the end of the bill however it was just so unprofessional.,2.0,2021-07-29,a month ago,2021-06-29,staff place order stake lobster lobster come minutes stake ask take order drink minutes get there take money end bill however unprofessional,[]
"This restaurant was booked for me and my best friend as a birthday surprise, as well as various other things. In which I was not disappointed. Couldn't believe I hadn't heard of this place, I must be living under a rock!! All four of us were seated, given our menus which and served pretty quickly. We ordered a share platter (for 2), however this platter was huge and fed all four of us! If you can eat that platter in a two and still way your dinner, your a machine! The food was pretty fast as delicious which made the experience better, for my mains I ordered the lobster and shrimp roll, which came with a free drink. Wow it was yummy! We all had such a lovely meal and I have already been recommending to people!",5.0,2021-07-29,a year ago,2020-07-29,restaurant book best friend birthday surprise well various things not disappoint couldnt believe hadnt hear place must live rock four us seat give menus serve pretty quickly order share platter for however platter huge feed four us eat platter two still way dinner machine food pretty fast delicious make experience better mains order lobster shrimp roll come free drink wow yummy lovely meal already recommend people,[]
Great experience,5.0,2021-07-29,a year ago,2020-07-29,great experience,[]
"Nice place with good food, very nice view, perfect for a gathering with friends. A bit pricy but worthy. One thing didn't find comfortable the chairs and this is because I'm taller than average people.",4.0,2021-07-29,a month ago,2021-06-29,nice place good food nice view perfect gather friends bit pricy worthy one thing didnt find comfortable chair im taller average people,[]
Very tasty seafood platter.. Drinks were decent as well as great location..,5.0,2021-07-29,a week ago,2021-07-22,tasty seafood platter drink decent well great location,[]
"We've been going for years but the quality has gone downhill. Great value deals and lobsters were good. However, rare and medium-rare steaks looked identical and they were chewy. Another medium-rare was 110% cooked. Waiters were great all evening. Hope the kitchen improves on their steaks!",3.0,2021-07-29,a week ago,2021-07-22,weve go years quality go downhill great value deal lobsters good however rare mediumrare steaks look identical chewy another mediumrare cook staff great even hope kitchen improve steaks,[]
"Smelly and too busy, drinks are not good at all",2.0,2021-07-29,a year ago,2020-07-29,smelly busy drink arent good,[]
"Great food, great service, great atmosphere!",5.0,2021-07-29,a year ago,2020-07-29,great food great service great atmosphere,[]
"The food was average at best (full of oil, greasy and small portions), but could have been 3/3.5 stars if it wasn’t for the worst table service I have had in London. We had a table of 4, the first 2 got served after 45 minutes, the waiter then forgot about the remaining 2 and we had to remind a different waiter (the only one not avoiding eye contact with customers) serving another table that we were still waiting for 2 more mains after 1h and 20 minutes (everyone else around who came after got their food before us). Nobody came checking if everything was good, nobody came to ask if we wanted more drinks (the first drinks only arrived after 40 minutes, the second when we were about ready to leave) and nobody was checking on the other tables around us (other people also looked very unhappy about the service). Despite being Covid times and not particularly super busy, they still failed to deliver a decent service. Avoided the 1star just because they took some money off to apologise for the poor service and because the live music was quite decent. They still had the courage to charge a £10 service charge. They need new skilled waiters and more importantly a decent manager running the floor, hard to see them staying in business otherwise. They can do so much better than that. Just a shadow of their former selves, wasn’t this bad when I went there back in 2018.",2.0,2021-07-29,9 months ago,2020-11-01,food average best full oil greasy small portion could star wasnt worst table service london table first get serve minutes staff forget remain remind different staff the one not avoid eye contact customers serve another table still wait mains h minutes everyone else around come get food us nobody come check everything good nobody come ask want drink the first drink arrive minutes second ready leave nobody check table around us other people also look unhappy service despite covid time not particularly super busy still fail deliver decent service avoid star take money apologise poor service live music quite decent still courage charge money service charge need new skilled staff importantly decent manager run floor hard see stay business otherwise much better that shadow former selves wasnt bad go back ,[]
"Restaurant was not busy, yet the service received was terrible. Food came pretty quickly, but the service after that was terrible. Tried to charge us for an additional meal, £25. Luckily I checked the bill. Took them HALF AN HOUR to rectify, then I was cheekily told it was a ""system error"". It was not. It was incompetence on the part of our waitress, as they did try to bring us three main meals for two people. My fellow diner had water dripping from the a/c unit. The diners next to us had it dripping in their food! We complained but were not offered a change of table, neither were neibouring diners. I've been to The Big Easy, Canary Wharf, a number of times. My experience on Tuesday was the worst. It was all eventually rectified but I did have to call for the manager...no one else seemed to be bothered. The manager rectified the situation and offered recompense by way of a free meal. I'd like to thank you, Ziki Hardy, for your assistance.",2.0,2021-07-29,2 weeks ago,2021-07-15,restaurant not busy yet service receive terrible food come pretty quickly service terrible try charge us additional meal money luckily check bill take half hour rectify cheekily tell system error not incompetence part staff try bring us three main meals two people fellow diner water drip ac unit diners next us drip food complain not offer change table neither neibouring diners ive number time experience tuesday worst eventually rectify call managerno one else seem bother manager rectify situation offer recompense way free meal id like thank you ziki hardy assistance,[]
"Great location , very very busy place and service not great , cocktails are good tho",3.0,2021-07-29,a month ago,2021-06-29,great location busy place service not great cocktails good tho,[]
"Very good, had the seafood selection in garlic sauce and it was yum",5.0,2021-07-29,a year ago,2020-07-29,good seafood selection garlic sauce yum,[]
Great food highly recommended!,5.0,2021-07-29,2 months ago,2021-05-30,great food highly recommend,[]
"Staff incredibly unfriendly, unaccommodating and unhelpful on the phone. Had to call 15 times to get through to bookings team. 0/10 would not bother.",1.0,2021-07-29,4 weeks ago,2021-07-01,staff incredibly unfriendly unaccommodating unhelpful phone call time get book team wouldnt bother,[]
The weekend deal is really good.,5.0,2021-07-29,a year ago,2020-07-29,weekend deal really good,[]
"We sat outside and had a great view. I wish the menu was a little more straight to the point and simple. Sadly, our food took ages to arrive, our plates were dirty and the customer service was disappointing. Oh and when our food did arrive, a waiter was speaking over it with his mask worn incorrectly. Rightfully so we got a discount on our bill in the end, but we will be going elsewhere for lobster in the future.",2.0,2021-07-29,a month ago,2021-06-29,sit outside great view wish menu little straight point simple sadly food take age arrive plat dirty customer service disappoint oh food arrive staff speak mask wear incorrectly rightfully get discount bill end go elsewhere lobster future,[]
"Loved it, great views for the summer",5.0,2021-07-29,3 weeks ago,2021-07-08,love it great view summer,[]
The atmosphere was good. The wings were delicious. I could not eat the brisket as it was so fatty. The waiter had his mask under his nose. We waited 15 minutes to pay and I had to go and find someone to take our payment.,2.0,2021-07-29,a month ago,2021-06-29,atmosphere good wing delicious could not eat brisket fatty staff mask nose wait minutes pay go find someone take payment,[]
"Was really excited to be back here and was not disappointed. Great food, great service and amazing music. Its a shame really that only in restaurants like this will you hear proper musical classics like blues n rock n roll unlike the rubbish modern noise of today. Had the deluxe bbq sharer which could pretty much feed 4 people and as always the brisket is divine! Well worth it!",5.0,2021-07-29,2 months ago,2021-05-30,really excite back not disappoint great food great service amazing music shame really restaurants like hear proper musical classics like blue n rock n roll unlike rubbish modern noise today deluxe bbq sharer could pretty much fee people always brisket divine well worth it,[]
The food was good and they had some decent deals. Bbq wings could be better as they where drowning in sauce so hard to tell if they where any good or not as the source was pretty strong. Totally no social distancing or dividers setup. Also it's cold inside as there seems to be a draft coming from somewhere. Would have been better if they turned up the heating and make it nice and cosy.,4.0,2021-07-29,8 months ago,2020-12-01,food good decent deal bbq wing could better drown sauce hard tell good not source pretty strong totally no social distance dividers setup also cold inside seem draft come somewhere would better turn heat make nice cosy,[]
Have to try if you haven't already,5.0,2021-07-29,a year ago,2020-07-29,try havent already,[]
"Positives first - the venue was a really cool location with great views, and our waiter was really lovely and very attentive. However, the food took a very long time to come out (we had the steak/lobster combos) and when it finally did, it was very over cooked and we had to send it back. Our replacements were much better, but we were there for nearly 3 hours by the end of it and the food quality was not as good as expected. I will say that the serving staff were very good with checking back and helping sort everything out.",2.0,2021-07-29,3 weeks ago,2021-07-08,positives first venue really cool location great view staff really lovely attentive however food take long time come we steaklobster combos finally do cook send back replacements much better nearly hours end food quality not good expect say serve staff good check back help sort everything out,[]
"My partner had booked the restaurant for my 27th birthday as a surprise, we were very excited. On arrival, the receptionist was not wearing a mask & a couple of other staff were lowering their masks down to their chains, to our surprise. When we were ready to order, 3 out of 5 main items we wanted to order from the menu were out. We were disappointed that they didn't have Calamari, Sweet Potato Fries and any slushy cocktails. In mid order (when I was speaking), the waiter just suddenly moved to another table, which was quite unprofessional. We ordered a cocktail each, one came with Original Lobster Roll, a Crab and seafood platter, a shrimp starter and 3 sides to go with. This is the start of a nightmare. Food took over 45 mins to arrive, by the time the food had arrived, it was 815PM. It was incredibly difficult to get the waiter's attention from our table. We noticed water was dropping from the ceiling to our table when waiting for food, we raised this to the waiter and she just said okay and walked away & didn't offer any alternative solutions or even apologized. A lot of times we had to wave our hands to even get the waiter's attention, our neighbour table was even doing that for us. We had to ask for water 5 times and water was only delivered to our table at 9PM, by which time we had almost finished our meal. We ordered crab so would need special utensils to get the meat out. It didn't come with the food and even after we asked for 3 times it still only came with 1 set for both of us. (We had told her we were sharing all the food). We had tried to get other waiters' attention who passed by, but even they saw us waving at them, they just ignored us, one even was quite rude giving us gestures. When the waiter finally came with water, we had finished our lobster rolls and the majority of the platters, and she tried to remove all food from the table (!!!) however there was still food that we didn't finish, including the crab. We had to tell her that we were still eating the chips and the platter. The food itself was also bad. In my platter there were clams that were not open, which I expected for a restaurant to check their shellfish before serving. All the seafood were extremely overcooked, including the crab & lobster. By that time, we just wanted to go home. We asked for the bill and said could we speak to the manager. The waiter said ""I can try, but there are issues in the kitchen, so the manager probably won't come"". By that time, we asked if there was anything we could do to complain about it, then she again, just walked away. The manager had finally come and we had told him this was a terrible experience, before we even finished our sentences on what went wrong, he said ""I will take care of the bill"" and walked away again, without us telling him why. He came back later with service charge removed & 25% discount on the bill. When we finally could check the bill, there were items that is part of a lobster & cocktail deal where they charged separately, we raised that to the waiter, and she was argumentative said the cost had already been taken off in the -25% goodwill section, we had to explain to her that was not the deal and they were overcharging in the first place. She again walked away and just said okay. Eventually we paid and we left with anger and disappointment. Everything also took so long that we left at 930 PM which was later than we expected. The overall experience was truly awful, they were understaffed and the staff there were very inexperienced. Lots of them walked around like they didn't even know the table number. A lot of items on the menu ran out. My partner was very sorry for ruining my birthday as it was supposed to be a nice treat, but indeed turning into the worst dining experience of our life. We couldn't truly relax there because of the long waiting time and bad service all around. Overall, even if you pay me, I wouldn't return to any one of their chains. UPDATE: Emails were sent & provide information for investigation, receive no replies after multiple follow-ups.",1.0,2021-07-29,3 days ago,2021-07-26,partner book restaurant th birthday surprise excite arrival receptionist not wear mask couple staff lower mask chain surprise ready order main items want order menu out disappoint didnt calamari sweet potato fry slushy cocktails mid order when speak staff suddenly move another table quite unprofessional order cocktail each one come original lobster roll crab seafood platter shrimp starter side go with start nightmare food take minutes arrive time food arrive pm incredibly difficult get staff attention table notice water drop ceiling table wait food raise staff say okay walk away didnt offer alternative solutions even apologize lot time wave hand even get staff attention neighbour table even us ask water time water deliver table pm time almost finish meal order crab would need special utensils get meat out didnt come food even ask time still come set us we tell share food try get staff attention pass by even saw us wave them ignore us one even quite rude give us gesture staff finally come water finish lobster roll majority platters try remove food table however still food didnt finish include crab tell still eat chip platter food also bad platter clam not open expect restaurant check shellfish serve seafood extremely overcook include crab lobster time want go home ask bill say could speak manager staff say i try issue kitchen manager probably wont come time ask anything could complain it again walk away manager finally come tell terrible experience even finish sentence go wrong say i take care bill walk away again without us tell why come back later service charge remove discount bill finally could check bill items part lobster cocktail deal charge separately raise staff argumentative say cost already take goodwill section explain not deal overcharge first place walk away say okay eventually pay leave anger disappointment everything also take long leave pm later expect overall experience truly awful understaffed staff inexperienced lot walk around like didnt even know table number lot items menu run out partner sorry ruin birthday suppose nice treat indeed turn worst din experience life couldnt truly relax long wait time bad service around overall even pay me wouldnt return one chain update email send provide information investigation receive no reply multiple followups,[]
"It is a good place to be in lunch time, monday to friday, the express lunch is massive and good quality, if you take 2 courses with drink and service charge is about £15. I have to say that i've been there also in a weekend with my kids, in the website they saying ITS FREE MEAL FOR KIDS.....and it is not true! They dont give the complete information, aparently you have to take 1 starter and 1 main in order to have one free meal for kids....but in their website they do not inform you, neither the staff. Anyway the waitress was kind and it is a place to repeat.I completly recomend this place.",5.0,2021-07-29,9 months ago,2020-11-01,good place lunch time monday friday express lunch massive good quality take course drink service charge money say ive also weekend kid website say free meal kidsand isnt true dont give complete information aparently take starter main order one free meal kidsbut website dont inform you neither staff anyway staff kind place repeati completly recomend place,[]
The food was to die for!!! Very nice and customer service was excellent,5.0,2021-07-29,2 months ago,2021-05-30,food die for nice customer service excellent,[]
Best brunch place to catchup with friends,5.0,2021-07-29,5 days ago,2021-07-24,best brunch place catchup friends,[]
Good food nice staff!But very crowded!It takes a bit longer to receive your meal but it’s worth it because the food is tasty.,5.0,2021-07-29,a year ago,2020-07-29,good food nice staffbut crowdedit take bit longer receive meal its worth food tasty,[]
"Came here for my mother’s birthday, she’s been to the Covent Garden branch and loved it so we decided to come to canary wharf branch ABSOLUTELY HORRIBLE food was cold and bland won’t be returning.",1.0,2021-07-29,9 months ago,2020-11-01,come mother birthday shes covent garden branch love decide come branch absolutely horrible food cold bland wont return,[]
The food here is far better than most restaurants in this area. The staff is warm and hospitable. I had an excellent meal :),5.0,2021-07-29,9 months ago,2020-11-01,food far better restaurants area staff warm hospitable excellent meal ,[]
"Good food, rude and inattentive staff, won't return.",2.0,2021-07-29,a year ago,2020-07-29,good food rude inattentive staff wont return,[]
Amazing food!,5.0,2021-07-29,9 months ago,2020-11-01,amazing food,[]
"Was there for my wife's bday, the ambience was nice and luckily we got to seat by the window. The view was lovely. Enjoyed the meal had the big pig gig and a whole lobster just amazing",5.0,2021-07-29,3 weeks ago,2021-07-08,wifes bday atmosphere nice luckily get seat window view lovely enjoy meal big pig gig whole lobster amazing,[]
"I ordered Taste-O-Rama which had BBQ Chicken, Dry rubbed St Louis Pork Ribs & Carolina Pulled Pork. With a cornmeal muffin. It wasn’t very nice. All of the meat tasted the same. It was a lot of food so I wasnt able to finish it. We waited an hour for our food as it was very busy. We hadnt finished eating when we were told our table was needed. We explained how long we had waited, the manager was very apologetic. It wasnt a very good night out. The service and food was much better before the pandemic. The 3 stars was because the staff were really pleasant and did their best",3.0,2021-07-29,a month ago,2021-06-29,order tasteorama bbq chicken dry rub st louis pork rib carolina pulled pork cornmeal muffin wasnt nice meat taste same lot food wasnt able finish it wait hour food busy hadnt finish eat tell table need explain long wait manager apologetic wasnt good night out service food much better pandemic star staff really pleasant best,[]
Nice atmosphere and veryyy nice food! Recommended for drinks as well!,5.0,2021-07-29,a year ago,2020-07-29,nice atmosphere veryyy nice food recommend drink well,[]
"Poor service and extremely poor value for money. I had a portion of ribs as my main witch cost £20 and consisted of 2, yes 2, ribs which were just ok. I Bar B Q a lot of ribs so I know you can get a full rack for less than a tenner. They were just ok taste-wise but overall extremely disappointing. The Cole slaw was tasty. My other half had BBQ chicken which didn't seem to have ever been introduced to a BBQ, it tasted like a rotisserie chicken, gooey and slimy, with a bit of sauce slapped on top. Very poor.",1.0,2021-07-29,a year ago,2020-07-29,poor service extremely poor value money portion rib main witch cost money consist yes rib ok bbq lot rib know get full rack less tenner ok tastewise overall extremely disappoint cole slaw tasty half bbq chicken didnt seem ever introduce bbq taste like rotisserie chicken gooey slimy bit sauce slap top poor,[]
"Cool looking place, absolutely lovely food!",5.0,2021-07-29,a year ago,2020-07-29,cool look place absolutely lovely food,[]
The big easy is super! Great modern architecture definitely worth to visit and have your lunch!,5.0,2021-07-29,a year ago,2020-07-29, super great modern architecture definitely worth visit lunch,[]
Nice place good food and background music,5.0,2021-07-29,a month ago,2021-06-29,nice place good food background music,[]
"The worst experience ever, came out to celebrate my daughters birthday, food wasn't cook properly. Service was below standard, ask for Oreo milkshake got chocolate when queryy was told machine broken and that was the last one so they just gave it to me. Waitress was clueless. Looking for a BBQ experience wouldn't reccomend canary wharf Big Easy.",1.0,2021-07-29,a year ago,2020-07-29,worst experience ever come celebrate daughters birthday food wasnt cook properly service standard ask oreo milkshake get chocolate queryy tell machine break last one give me staff clueless look bbq experience wouldnt reccomend ,[]
"Excellent place for trying Texan food. Great location, food is delicious and service is good. Try the slow cooked texan brisket!",5.0,2021-07-29,9 months ago,2020-11-01,excellent place try texan food great location food delicious service good try slow cook texan brisket,[]
"Nice place but let down by the food, food was cold when we got it then found hair in the salad big let down for the price you pay for the food",2.0,2021-07-29,7 months ago,2020-12-31,nice place let food food cold get find hair salad big let price pay food,[]
Service quick and helpful. Food tasty and sufficient. Prices are good if you go during the day menu otherwise will get expensive for what it is. Dont bother with the house beer. Food did give an unsettled night afterwards including those in our party as well.,3.0,2021-07-29,a year ago,2020-07-29,service quick helpful food tasty sufficient price good go day menu otherwise get expensive be dont bother house beer food give unsettle night afterwards include party well,[]
Nice food but a bit overpriced. How can a steak cost £30 and not come with any sides? Also when you order a pint of beer you dont get a pint. Every drink I had was served short which is a pet hate of mine. Probably wouldn't go again but it was ok for a one off,3.0,2021-07-29,a year ago,2020-07-29,nice food bit overprice steak cost money not come side also order pint beer dont get pint every drink serve short pet hate mine probably wouldnt go ok one,[]
"fresh, crispy and huge prawn portion all you can have for £20 pounds on Tuesday, amazing food and amazing deal, well done guys!!!",5.0,2021-07-29,a year ago,2020-07-29,fresh crispy huge prawn portion money pound tuesday amazing food amazing deal well do guy,[]
"AVOID!!! I am still at Big Easy but the food is so bad that I am compelled to leave this review. Waiter doesn't serve, took us a long time before we can order. When he was here, he was so impatient and just left the stuff on the table and turned around. Lobster is watery and meatless, medium steak is well overcooked and dry. And turns out our waiter is a mute, surprised!",1.0,2021-07-29,a year ago,2020-07-29,avoid still food bad compel leave review staff doesnt serve take us long time order here impatient leave stuff table turn around lobster watery meatless medium steak well overcook dry turn staff mute surprise,[]
"Throughly enjoyed our night here! Atmosphere was spot on, food was lovely! Only downside was there wasn't enough staff we had to keep calling someone over to order drinks food and ask for cutlery, but the drinks went down a treat! Will definitely be back!",5.0,2021-07-29,3 weeks ago,2021-07-08,throughly enjoy night here atmosphere spot on food lovely downside wasnt enough staff keep call someone order drink food ask cutlery drink go treat definitely back,[]
"Food was fantastic, best value for a pit BBQ place ever... If you can go during the week for the lunch time deal, weekend prices are not cheap.",4.0,2021-07-29,7 months ago,2020-12-31,food fantastic best value pit bbq place ever go week lunch time deal weekend price arent cheap,[]
Great food and atmosphere. Good value,5.0,2021-07-29,a year ago,2020-07-29,great food atmosphere good value,[]
